Jogo ID;Home;Gols Home;Gols  Away;Away;odd Home;odd Draw;odd Away;Home Score HT;Away Score HT;Corner Home;Corner Away;Total Corner Match;Ano
27;Juventude;2;1;Ceara;2.30;3.20;3.10;1;1;4;3;7;2025
28;Palmeiras;2;0;Corinthians;1.90;3.50;4.00;2;0;1;3;4;2025
28;Vitoria;2;2;Bahia;2.82;3.25;2.54;1;0;2;7;9;2024
29;São Paulo;1;1;Cruzeiro;2.05;3.00;4.10;0;0;4;6;10;2025
29;A. Goianiense;0;3;São Paulo;2.67;3.10;2.80;0;1;9;1;10;2024
30;Botafogo;5;1;Juventude;1.72;3.60;5.00;2;0;5;4;9;2024
30;Vasco;3;1;Sport;1.90;3.40;4.20;2;0;1;10;11;2025
31;Vasco;0;4;Criciuma;1.66;3.75;5.00;0;1;5;4;9;2024
31;Ceara;2;1;Vasco;2.15;3.30;3.50;1;0;1;2;3;2025
32;Corinthians;0;2;Fluminense;1.90;3.50;4.00;0;0;7;4;11;2025
32;Cuiaba;0;3;A. Mineiro;3.75;3.25;2.05;0;1;3;7;10;2024
33;Bahia;1;0;Gremio;2.05;3.25;3.80;1;0;4;0;4;2024
33;Cruzeiro;3;0;Bahia;2.25;3.25;3.20;1;0;4;5;9;2025
34;Flamengo;6;0;Juventude;1.30;5.00;11.00;3;0;6;0;6;2025
34;Flamengo;0;2;Botafogo;1.72;3.75;4.50;0;0;8;3;11;2024
35;Botafogo;2;2;São Paulo;1.90;3.50;4.20;1;2;9;4;13;2025
35;Corinthians;3;0;Fluminense;2.30;3.10;3.30;2;0;6;8;14;2024
36;Cruzeiro;3;1;Vitoria;1.57;3.80;6.00;0;0;10;4;14;2024
36;Internacional;0;1;Palmeiras;2.50;3.25;2.90;0;0;1;6;7;2025
37;Fortaleza;1;1;Bragantino;1.95;3.25;4.20;1;1;12;6;18;2024
37;Mirasol;4;1;Gremio;2.45;3.00;3.20;2;0;2;7;9;2025
38;Santos;2;0;A. Mineiro;2.35;3.40;3.00;1;0;3;6;9;2025
38;Juventude;1;1;A. Paranaense;3.00;3.00;2.50;1;0;4;6;10;2024
39;Internacional;1;1;A. Goianiense;1.40;4.33;7.50;0;0;13;0;13;2024
39;Sport;0;1;Bragantino;2.20;3.25;3.40;0;1;9;3;12;2025
40;Vitoria;2;1;Fortaleza;2.40;3.20;3.10;1;0;5;5;10;2025
40;São Paulo;0;0;Palmeiras;2.87;3.00;2.60;0;0;6;4;10;2024
41;Corinthians;0;0;Fortaleza;2.00;3.20;3.80;0;0;9;5;14;2024
41;A. Mineiro;1;0;Botafogo;2.20;3.25;3.80;0;0;8;4;12;2025
42;Fluminense;2;2;A. Mineiro;1.90;3.40;3.90;1;0;4;10;14;2024
42;Juventude;2;2;Mirasol;2.10;3.10;3.70;2;1;5;3;8;2025
43;Gremio;1;1;Internacional;3.00;3.10;2.50;1;0;3;7;10;2025
43;Bragantino;1;1;Flamengo;3.00;3.25;2.30;1;0;8;4;12;2024
44;Bahia;1;0;Ceara;2.00;3.10;4.10;0;0;3;4;7;2025
44;Cruzeiro;0;0;Internacional;2.10;3.25;3.50;0;0;10;3;13;2024
45;A. Paranaense;1;0;Vasco;1.80;3.60;4.20;1;0;6;5;11;2024
45;Bragantino;1;0;Cruzeiro;2.40;3.25;3.00;1;0;4;9;13;2025
46;Corinthians;2;1;Sport;1.53;3.80;7.00;0;1;5;4;9;2025
46;Gremio;1;2;Criciuma;1.68;3.78;5.00;0;1;6;3;9;2024
47;São Paulo;2;1;Santos;2.05;3.25;3.80;2;1;5;5;10;2025
47;Vitoria;1;3;São Paulo;3.25;3.20;2.25;0;1;3;8;11;2024
48;Fluminense;1;1;Vitoria;1.55;3.60;7.00;1;0;6;4;10;2025
48;Botafogo;1;2;Bahia;1.80;3.50;4.33;0;1;5;1;6;2024
49;Cuiaba;0;2;Palmeiras;4.00;3.40;1.90;0;1;6;6;12;2024
49;Vasco;0;0;Flamengo;5.75;3.80;1.60;0;0;2;11;13;2025
50;Juventude;1;0;A. Goianiense;2.00;3.30;3.90;1;0;4;7;11;2024
50;Fortaleza;1;2;Palmeiras;3.25;3.10;2.30;0;1;8;2;10;2025
51;Palmeiras;0;1;Bahia;1.65;4.00;5.00;0;0;6;5;11;2025
51;Criciuma;2;5;Cuiaba;2.05;3.25;3.30;0;3;6;2;8;2024
52;Flamengo;2;0;Corinthians;1.57;4.00;5.50;1;0;13;6;19;2024
52;Mirasol;2;2;A. Mineiro;2.80;3.30;2.45;1;0;4;2;6;2025
53;Flamengo;4;0;Corinthians;1.57;3.60;6.50;3;0;10;3;13;2025
53;A. Mineiro;2;1;Gremio;1.75;3.60;4.50;2;1;4;10;14;2024
54;Gremio;1;2;Bragantino;1.70;3.30;5.75;0;0;6;10;16;2025
54;Vasco;2;1;Vitoria;1.75;3.50;4.60;0;0;4;4;8;2024
55;Botafogo;2;0;Fluminense;2.20;3.40;3.20;1;0;6;3;9;2025
55;A. Goianiense;0;1;Cruzeiro;2.80;3.20;2.50;0;0;5;5;10;2024
56;Cruzeiro;1;0;Vasco;1.75;3.75;4.50;0;0;4;8;12;2025
56;Fortaleza;1;1;Botafogo;2.10;3.25;3.60;1;1;6;5;11;2024
57;Palmeiras;0;2;A. Paranaense;1.66;3.75;5.00;0;1;2;3;5;2024
57;Vitoria;1;1;Gremio;2.45;3.30;2.80;0;1;6;2;8;2025
58;Bahia;1;0;Bragantino;2.10;3.25;3.50;1;0;5;5;10;2024
58;Ceara;1;1;São Paulo;2.40;3.20;3.00;1;1;3;2;5;2025
59;São Paulo;2;1;Fluminense;2.05;3.25;3.75;1;1;7;4;11;2024
59;Sport;0;0;Fortaleza;2.40;3.40;2.80;0;0;6;6;12;2025
60;Internacional;3;1;Juventude;1.40;4.33;9.00;2;1;9;2;11;2025
60;Internacional;2;1;Juventude;1.53;3.80;6.50;0;1;8;1;9;2024
61;São Paulo;0;0;Fortaleza;1.90;3.30;4.20;0;0;5;13;18;2025
61;Corinthians;0;1;Botafogo;2.05;3.20;3.75;0;0;2;5;7;2024
62;Ceara;1;0;Vitoria;1.80;3.40;4.50;0;0;3;3;6;2025
62;São Paulo;2;0;Cruzeiro;1.80;3.50;4.33;1;0;4;2;6;2024
63;Vitoria;0;2;A. Goianiense;1.90;3.25;4.20;0;1;3;4;7;2024
63;Corinthians;4;2;Internacional;2.20;3.25;3.40;1;2;3;7;10;2025
64;Fluminense;2;1;Sport;1.72;3.75;4.50;0;1;10;6;16;2025
64;Vasco;1;6;Flamengo;4.00;3.70;1.80;1;3;1;8;9;2024
65;Fortaleza;1;0;A. Paranaense;2.20;3.20;3.40;1;0;2;4;6;2024
65;Bahia;1;0;Botafogo;2.25;3.30;3.10;0;0;3;3;6;2025
66;Gremio;1;0;Santos;2.40;3.25;2.87;0;0;3;6;9;2025
66;Criciuma;1;2;Palmeiras;4.75;3.60;1.72;0;0;4;6;10;2024
67;A. Mineiro;1;1;Bahia;1.72;3.75;4.50;0;0;5;4;9;2024
67;Vasco;0;1;Palmeiras;4.50;3.20;1.90;0;0;7;11;18;2025
68;Fluminense;1;1;Juventude;1.53;4.33;5.75;1;0;5;3;8;2024
68;Cruzeiro;2;1;Flamengo;4.10;3.40;1.90;1;1;6;5;11;2025
69;Bragantino;1;0;Mirasol;2.15;3.40;3.25;0;0;4;4;8;2025
69;Cuiaba;0;1;Internacional;3.20;3.10;2.35;0;0;0;2;2;2024
70;Gremio;0;2;Bragantino;2.75;3.20;2.70;0;1;6;0;6;2024
70;Juventude;0;1;A. Mineiro;3.25;3.25;2.20;0;1;3;5;8;2025
71;Fortaleza;5;0;Juventude;1.57;3.75;6.00;1;0;5;4;9;2025
71;Botafogo;1;0;Fluminense;2.25;3.25;3.10;0;0;14;2;16;2024
72;Flamengo;2;1;Gremio;1.57;4.00;5.50;1;0;4;6;10;2024
72;Gremio;1;1;Bragantino;2.40;3.25;3.00;0;0;6;4;10;2025
73;A. Goianiense;2;2;Corinthians;2.75;3.20;2.55;0;1;3;4;7;2024
73;Mirasol;3;1;Corinthians;2.87;3.10;2.60;0;1;4;5;9;2025
74;Vitoria;2;1;Vasco;2.10;3.25;3.70;0;1;6;3;9;2025
74;Bragantino;1;2;A. Mineiro;2.80;3.20;2.50;1;2;8;5;13;2024
75;Flamengo;1;0;Bahia;1.66;3.60;5.25;1;0;8;2;10;2025
75;Internacional;0;0;São Paulo;2.25;3.25;3.10;0;0;5;3;8;2024
76;Juventude;1;1;Vitoria;1.90;3.20;4.20;1;1;5;4;9;2024
76;Sport;0;4;Cruzeiro;2.40;3.20;3.00;0;3;7;4;11;2025
77;Bahia;1;0;Fortaleza;1.72;3.75;4.50;0;0;5;9;14;2024
77;A. Mineiro;3;2;Fluminense;1.95;3.40;4.00;0;0;10;0;10;2025
78;Palmeiras;2;0;Vasco;1.48;4.00;7.00;1;0;10;6;16;2024
78;Palmeiras;1;0;São Paulo;1.66;3.75;5.00;0;0;10;1;11;2025
79;A. Paranaense;3;1;Criciuma;1.48;4.10;6.50;1;1;5;3;8;2024
79;Botafogo;4;0;Internacional;2.20;3.25;3.30;2;0;2;7;9;2025
80;Cruzeiro;2;1;Cuiaba;1.60;3.60;6.00;1;0;6;4;10;2024
80;Santos;0;0;Ceara;1.83;3.30;4.50;0;0;9;6;15;2025
81;Bragantino;2;1;Juventude;1.60;3.90;5.75;1;1;1;1;2;2024
81;Ceara;2;0;Sport;1.90;3.25;4.20;1;0;5;8;13;2025
82;Vasco;3;0;Fortaleza;2.30;3.25;3.00;1;0;4;7;11;2025
82;Vitoria;2;1;Internacional;3.30;3.00;2.37;1;0;4;2;6;2024
83;São Paulo;2;1;Gremio;1.80;3.50;4.75;0;1;8;3;11;2025
83;Fluminense;1;2;A. Goianiense;1.95;3.70;3.75;1;0;3;3;6;2024
84;Bahia;2;1;Vitoria;1.66;3.50;5.25;1;0;1;10;11;2025
84;Gremio;1;2;Botafogo;3.20;3.20;2.30;1;1;7;4;11;2024
85;Corinthians;1;0;Santos;1.83;3.30;4.75;0;0;5;3;8;2025
85;Criciuma;2;2;Bahia;3.10;3.20;2.37;1;0;6;5;11;2024
86;A. Paranaense;1;1;Flamengo;2.45;3.20;3.00;0;0;5;9;14;2024
86;Juventude;1;1;Fluminense;3.10;3.25;2.30;0;0;5;5;10;2025
87;Flamengo;0;0;Botafogo;1.60;3.75;5.75;0;0;7;3;10;2025
87;Corinthians;2;2;São Paulo;2.80;3.10;2.70;2;2;9;5;14;2024
88;A. Mineiro;0;4;Palmeiras;2.70;3.25;2.70;0;1;3;6;9;2024
88;Bragantino;1;2;Palmeiras;3.20;3.20;2.25;1;0;8;12;20;2025
89;Cruzeiro;0;0;A. Mineiro;2.45;3.20;2.90;0;0;15;1;16;2025
89;Cuiaba;5;0;Fortaleza;3.00;2.87;2.62;4;0;5;1;6;2024
90;Internacional;1;1;Mirasol;1.53;4.00;6.00;0;1;6;2;8;2025
90;Vasco;0;0;Cruzeiro;2.45;3.30;2.90;0;0;5;5;10;2024
91;Botafogo;3;2;Ceara;1.63;3.78;5.60;1;0;6;0;6;2025
91;A. Goianiense;1;2;Criciuma;1.87;3.40;4.20;1;0;5;1;6;2024
92;Fluminense;2;1;Vasco;1.80;3.50;4.50;1;1;6;2;8;2025
92;Botafogo;1;1;A. Paranaense;2.00;3.40;3.75;0;0;5;9;14;2024
93;São Paulo;0;2;Mirasol;1.60;3.90;5.25;0;0;5;4;9;2025
93;Cruzeiro;2;0;Fluminense;1.91;3.40;4.00;1;0;4;4;8;2024
94;Flamengo;2;1;Bahia;1.63;3.94;5.30;1;1;6;2;8;2024
94;A. Mineiro;0;0;Corinthians;1.80;3.40;4.75;0;0;1;1;2;2025
95;Fortaleza;1;0;Gremio;1.95;3.40;4.00;1;0;8;3;11;2024
95;Gremio;1;0;Bahia;2.40;3.20;3.00;0;0;4;17;21;2025
96;Internacional;1;0;Corinthians;2.20;3.10;3.50;1;0;3;7;10;2024
96;Palmeiras;0;2;Flamengo;2.30;3.30;3.10;0;0;3;3;6;2025
97;Juventude;2;0;Vasco;2.25;3.15;3.40;0;0;5;4;9;2024
97;Sport;1;1;Internacional;2.60;3.20;2.70;1;0;6;4;10;2025
98;Palmeiras;2;1;Bragantino;1.62;3.90;5.50;1;0;10;3;13;2024
98;Vitoria;0;1;Santos;2.40;3.20;2.87;0;1;5;5;10;2025
99;São Paulo;0;1;Cuiaba;1.46;4.11;8.01;0;0;4;6;10;2024
99;Fortaleza;0;2;Cruzeiro;2.20;3.20;3.25;0;2;6;8;14;2025
100;Bragantino;1;0;Juventude;1.53;4.00;5.75;1;0;6;2;8;2025
100;Vitoria;4;2;A. Mineiro;3.80;3.25;2.05;2;1;2;4;6;2024
101;Bahia;2;1;São Paulo;1.90;3.20;4.75;0;0;5;3;8;2025
101;Criciuma;2;1;Botafogo;3.40;3.30;2.20;1;0;1;2;3;2024
102;Gremio;0;1;Internacional;2.84;3.00;2.65;0;0;4;1;5;2024
102;Cruzeiro;2;1;Palmeiras;3.25;3.25;2.20;2;0;5;13;18;2025
103;Cuiaba;0;0;A. Goianiense;2.18;3.10;3.62;0;0;3;3;6;2024
103;Vasco;0;2;Bragantino;2.50;3.10;3.00;0;2;7;3;10;2025
104;Mirasol;1;0;Sport;1.95;3.40;4.10;1;0;2;7;9;2025
104;Vasco;4;1;São Paulo;3.40;3.20;2.25;2;1;2;8;10;2024
105;A. Paranaense;1;1;Corinthians;1.73;3.60;5.00;1;0;11;2;13;2024
105;Juventude;0;2;Gremio;2.87;3.25;2.40;0;2;5;7;12;2025
106;Bahia;4;1;Cruzeiro;1.91;3.40;4.20;1;1;3;1;4;2024
106;Santos;0;1;Botafogo;2.15;3.25;3.40;0;0;5;4;9;2025
107;Ceara;0;1;A. Mineiro;2.15;3.25;3.40;0;0;8;8;16;2025
107;Fluminense;0;1;Flamengo;4.33;3.75;1.83;0;0;2;6;8;2024
108;Corinthians;0;0;Vitoria;1.57;3.60;6.50;0;0;8;3;11;2025
108;A. Mineiro;1;1;Fortaleza;1.70;3.75;5.00;0;1;3;4;7;2024
109;Palmeiras;3;1;Juventude;1.33;5.00;9.50;0;0;10;4;14;2024
109;Flamengo;5;0;Fortaleza;1.53;3.70;7.00;1;0;2;4;6;2025
110;Bragantino;2;1;Vitoria;1.57;4.00;5.60;1;1;6;3;9;2024
110;Internacional;0;2;Fluminense;1.66;3.60;5.00;0;1;9;1;10;2025
111;Palmeiras;4;1;Juventude;1.20;6.35;15.00;1;1;8;3;11;2025
111;Botafogo;2;1;Bragantino;1.95;3.40;4.00;1;1;7;4;11;2024
112;Cruzeiro;2;0;A. Paranaense;2.15;3.10;3.60;1;0;7;12;19;2024
112;Sport;1;5;Flamengo;7.90;4.60;1.40;1;1;4;15;19;2025
113;Botafogo;3;3;Mirasol;1.70;3.75;5.00;3;0;6;5;11;2025
113;A. Goianiense;1;1;Gremio;2.25;3.10;3.40;0;0;5;8;13;2024
114;Fluminense;1;0;Ceara;1.68;3.45;5.60;1;0;9;3;12;2025
114;Corinthians;1;1;Cuiaba;2.10;3.20;4.00;0;1;13;1;14;2024
115;Bragantino;0;3;Bahia;2.25;3.10;3.46;0;2;4;1;5;2025
115;Juventude;2;1;Flamengo;4.50;3.20;1.90;1;1;7;8;15;2024
116;Bahia;2;1;Vasco;1.60;3.90;5.50;1;1;7;0;7;2024
116;Vitoria;0;0;Cruzeiro;3.46;3.05;2.26;0;0;6;2;8;2025
117;Fortaleza;2;3;Santos;2.09;3.10;3.75;0;2;15;0;15;2025
117;Fortaleza;3;0;Palmeiras;3.25;3.10;2.37;1;0;3;8;11;2024
118;Internacional;1;2;A. Mineiro;2.25;3.00;3.60;0;0;5;9;14;2024
118;Gremio;1;1;Corinthians;2.40;3.05;3.00;1;1;4;6;10;2025
119;Fluminense;0;1;Vitoria;1.65;3.70;5.75;0;0;6;2;8;2024
119;A. Mineiro;2;0;Internacional;1.92;3.30;4.00;1;0;6;5;11;2025
120;São Paulo;2;1;Criciuma;1.48;4.20;7.00;2;0;2;2;4;2024
120;São Paulo;1;3;Vasco;1.90;3.30;4.30;0;2;2;2;4;2025
121;Bahia;2;1;A. Mineiro;2.30;3.00;3.50;0;0;4;7;11;2025
121;Cuiaba;1;1;Bragantino;2.62;3.10;2.75;1;1;3;11;14;2024
122;Corinthians;1;2;Bragantino;2.10;3.20;3.80;0;1;10;2;12;2025
122;Vasco;1;1;Botafogo;2.87;3.20;2.50;0;0;0;5;5;2024
123;A. Mineiro;1;1;A. Goianiense;1.33;5.00;9.00;1;1;5;8;13;2024
123;Cruzeiro;4;1;Gremio;1.66;3.50;5.75;2;0;6;3;9;2025
124;Flamengo;2;0;São Paulo;1.45;4.00;8.50;0;0;7;1;8;2025
124;Fortaleza;2;1;Juventude;1.53;4.00;6.50;2;0;7;5;12;2024
125;Gremio;1;0;Fluminense;2.37;3.20;3.00;0;0;6;1;7;2024
125;Fortaleza;0;1;Ceara;2.45;3.10;3.10;0;0;3;5;8;2025
126;Internacional;1;0;Vitoria;1.57;3.70;7.00;0;0;2;5;7;2025
126;São Paulo;3;1;Bahia;2.00;3.50;3.60;2;0;4;4;8;2024
127;Juventude;2;0;Sport;2.30;3.25;3.20;1;0;1;8;9;2025
127;Criciuma;1;1;Internacional;3.10;3.10;2.37;0;1;5;5;10;2024
128;Flamengo;2;1;Cruzeiro;1.50;4.33;6.00;1;1;2;5;7;2024
128;Mirasol;2;1;Fluminense;2.70;3.10;2.80;1;0;5;5;10;2025
129;Vitoria;0;1;A. Paranaense;3.00;3.00;2.50;0;0;7;6;13;2024
129;Santos;1;0;Palmeiras;3.10;3.30;2.52;0;0;8;5;13;2025
130;Palmeiras;2;0;Corinthians;1.44;4.00;8.00;0;0;7;3;10;2024
130;Vasco;0;2;Botafogo;3.54;3.20;2.15;0;0;5;3;8;2025
131;A. Mineiro;3;1;Sport;1.65;3.60;5.60;2;0;5;9;14;2025
131;Cuiaba;1;2;Botafogo;2.87;3.40;2.45;1;1;7;5;12;2024
132;Bahia;1;0;Internacional;1.90;3.40;4.00;1;0;6;5;11;2025
132;Criciuma;1;0;Cruzeiro;2.75;3.10;2.75;0;0;7;10;17;2024
133;Vasco;2;0;Fortaleza;2.40;3.30;2.87;1;0;7;3;10;2024
133;Juventude;2;0;Vasco;3.30;3.20;2.25;2;0;1;5;6;2025
134;Palmeiras;1;1;Mirasol;1.41;4.33;8.00;0;0;7;3;10;2025
134;A. Paranaense;1;2;São Paulo;2.25;3.10;3.40;1;1;6;2;8;2024
135;Ceara;0;1;Corinthians;2.40;3.00;3.15;0;0;7;3;10;2025
135;A. Mineiro;2;4;Flamengo;2.87;3.30;2.55;0;2;4;4;8;2024
136;Bragantino;3;1;A. Goianiense;1.80;3.25;4.75;3;1;3;8;11;2024
136;Santos;1;0;Flamengo;4.00;3.40;1.93;0;0;3;8;11;2025
137;Botafogo;0;0;Vitoria;1.47;4.20;7.00;0;0;6;5;11;2025
137;Bahia;2;0;Juventude;1.53;4.20;6.00;0;0;6;7;13;2024
138;Bragantino;2;2;São Paulo;2.30;3.00;3.40;1;1;6;4;10;2025
138;Gremio;2;2;Palmeiras;3.20;3.40;2.25;1;0;7;3;10;2024
139;Corinthians;3;2;Vitoria;1.85;3.25;4.75;2;1;7;6;13;2024
139;Fluminense;0;2;Cruzeiro;2.23;3.15;3.30;0;2;7;2;9;2025
140;Gremio;2;1;Fortaleza;2.15;3.25;3.40;2;1;2;5;7;2025
140;Fluminense;1;1;Internacional;2.80;3.20;2.55;1;1;3;4;7;2024
141;Flamengo;1;1;Cuiaba;1.36;4.75;8.00;0;1;7;0;7;2024
141;Fortaleza;1;1;Bahia;2.63;3.10;2.80;1;0;9;3;12;2025
142;São Paulo;2;0;Bragantino;1.83;3.50;4.20;0;0;6;3;9;2024
142;Vasco;1;1;Gremio;2.05;3.16;3.90;0;0;12;2;14;2025
143;Cruzeiro;3;0;Corinthians;1.66;3.60;5.25;2;0;8;8;16;2024
143;Mirasol;3;0;Santos;2.50;3.05;3.00;0;0;9;2;11;2025
144;Fortaleza;1;0;Fluminense;1.80;3.60;4.33;0;0;12;3;15;2024
144;São Paulo;2;0;Corinthians;2.40;2.80;3.45;2;0;6;5;11;2025
145;Internacional;1;0;Ceara;1.83;3.40;4.60;1;0;7;5;12;2025
145;Juventude;3;0;Gremio;2.35;3.25;3.00;2;0;3;8;11;2024
146;Cruzeiro;4;0;Juventude;1.29;5.25;11.50;1;0;8;3;11;2025
146;Botafogo;3;0;A. Mineiro;2.15;3.30;3.40;1;0;3;2;5;2024
147;Vitoria;1;0;Bragantino;2.63;3.05;2.81;1;0;2;5;7;2025
147;A. Goianiense;1;2;A. Paranaense;2.80;3.20;2.50;0;0;4;11;15;2024
148;Palmeiras;2;0;Bahia;1.50;4.20;6.00;1;0;4;3;7;2024
148;Palmeiras;3;2;A. Mineiro;1.73;3.48;5.15;1;1;9;0;9;2025
149;Vitoria;2;1;Criciuma;2.00;3.25;3.75;2;1;6;3;9;2024
149;Sport;0;1;Botafogo;3.50;3.10;2.20;0;0;6;4;10;2025
150;Internacional;1;2;Vasco;1.55;4.00;6.00;0;0;4;4;8;2024
150;Flamengo;1;0;Fluminense;1.78;3.40;5.00;0;0;8;3;11;2025
151;A. Mineiro;3;3;Fortaleza;1.75;3.40;5.00;2;0;9;6;15;2025
151;Bragantino;2;2;Internacional;2.37;3.00;3.40;1;1;1;9;10;2024
152;A. Paranaense;1;3;Bahia;2.15;3.40;3.30;0;2;9;2;11;2024
152;Gremio;1;1;Botafogo;3.00;3.20;2.35;0;0;7;1;8;2025
153;A. Mineiro;2;1;São Paulo;2.45;3.20;3.00;2;1;2;6;8;2024
153;Vasco;3;1;Bahia;2.60;3.10;2.80;1;1;6;2;8;2025
154;Criciuma;1;1;Fluminense;2.05;3.40;3.70;0;0;2;5;7;2024
154;Ceara;0;2;Mirasol;2.14;3.10;3.75;0;2;14;6;20;2025
155;Flamengo;1;2;Fortaleza;1.60;3.90;6.00;1;1;9;4;13;2024
155;Fluminense;1;2;Palmeiras;2.62;3.15;2.80;1;1;5;3;8;2025
156;Gremio;0;2;Cruzeiro;2.45;3.25;2.90;0;2;1;5;6;2024
156;Corinthians;0;0;Cruzeiro;2.73;3.00;2.80;0;0;4;2;6;2025
157;Palmeiras;3;1;A. Goianiense;1.45;4.33;7.50;1;1;9;2;11;2024
157;Bragantino;1;2;Flamengo;3.20;3.22;2.35;0;0;2;3;5;2025
158;Vasco;2;0;Corinthians;2.05;3.10;4.00;0;0;7;5;12;2024
158;Santos;1;2;Internacional;2.43;3.08;3.14;1;0;8;2;10;2025
159;Vitoria;2;2;Sport;1.93;3.28;4.20;0;0;6;10;16;2025
159;Vitoria;0;1;Botafogo;3.00;3.20;2.45;0;0;4;5;9;2024
160;Cuiaba;0;0;Juventude;2.12;3.40;3.38;0;0;3;3;6;2024
160;Juventude;0;1;São Paulo;3.10;3.20;2.35;0;0;4;8;12;2025
161;Bahia;1;2;Cuiaba;1.57;3.70;6.50;0;1;8;4;12;2024
